f(1) = 1 ; f(2) = 2 ; f(3) = 3 ; 
f(1) = 1 ; f(2) = 2 ; f(3) = 4 ; 
f(1) = 1 ; f(2) = 3 ; f(3) = 2 ; 
f(1) = 1 ; f(2) = 3 ; f(3) = 4 ; 
f(1) = 1 ; f(2) = 4 ; f(3) = 2 ; 
f(1) = 1 ; f(2) = 4 ; f(3) = 3 ; 
f(1) = 2 ; f(2) = 1 ; f(3) = 3 ; 
f(1) = 2 ; f(2) = 1 ; f(3) = 4 ; 
f(1) = 2 ; f(2) = 3 ; f(3) = 1 ; 
f(1) = 2 ; f(2) = 3 ; f(3) = 4 ; 
f(1) = 2 ; f(2) = 4 ; f(3) = 1 ; 
f(1) = 2 ; f(2) = 4 ; f(3) = 3 ; 
f(1) = 3 ; f(2) = 1 ; f(3) = 2 ; 
f(1) = 3 ; f(2) = 1 ; f(3) = 4 ; 
f(1) = 3 ; f(2) = 2 ; f(3) = 1 ; 
f(1) = 3 ; f(2) = 2 ; f(3) = 4 ; 
f(1) = 3 ; f(2) = 4 ; f(3) = 1 ; 
f(1) = 3 ; f(2) = 4 ; f(3) = 2 ; 
f(1) = 4 ; f(2) = 1 ; f(3) = 2 ; 
f(1) = 4 ; f(2) = 1 ; f(3) = 3 ; 
f(1) = 4 ; f(2) = 2 ; f(3) = 1 ; 
f(1) = 4 ; f(2) = 2 ; f(3) = 3 ; 
f(1) = 4 ; f(2) = 3 ; f(3) = 1 ; 
f(1) = 4 ; f(2) = 3 ; f(3) = 2 ; 
